Time,ECG_1,ECG_2
0.003,-0.8073991953118922,0.2
0.006,0.3728043545449715,0.2
0.008,-0.9737415509789322,0.2
0.011,-0.1496880143140895,0.2
0.014,0.5752423830129674,0.2
0.017,-0.5434236744293985,0.2
0.019,-0.7600466836324755,0.2
0.022,0.37836519805996915,0.2
0.025,0.8638691128974445,0.215
0.028,-0.5571045978811291,0.235
0.031,0.08303115985018561,0.24
0.033,0.35478635924807067,0.24
0.036,-0.14287900219580596,0.245
0.039,-0.727462655907051,0.265
0.042,-0.38132920105994916,0.335
0.044,0.5976800873552677,0.46
0.047,0.3623521205887108,0.775
0.05,0.25900093452139616,1.03
0.053,0.8362867221927872,0.935
0.056,-0.025675792416982146,0.665
0.058,-0.6684151270701773,0.485
0.061,-0.8376474772162881,0.445
0.064,0.22484277081778759,0.425
0.067,0.8662708993897841,0.395
0.069,-0.19375112172973674,0.355
0.072,-0.7505576096762279,0.335
0.075,-0.5923874562403155,0.33
0.078,-0.4227989906549392,0.335
0.081,-0.7865417284479628,0.3
0.083,-0.8922268062081755,0.305
0.086,-0.5659132169339529,0.26
0.089,0.7289261242665004,0.235
0.092,0.25859827772541566,0.21
0.094,-0.8548340419175555,0.195
0.097,0.11597846952551794,0.165
0.1,-0.9039053698826356,0.165
0.103,0.34760911231128055,0.135
0.106,0.6893537915014967,0.115
0.108,-0.03322288815189056,0.11
0.111,-0.7888045299338882,0.11
0.114,0.21501621586441244,0.105
0.117,-0.12250178016264934,0.085
0.119,0.5982257992117996,0.065
0.122,-0.5151434166791105,0.035
0.125,-0.7586462898245514,0.04
0.128,0.9154242760218703,0.03
0.131,-0.6479626596517036,0.02
0.133,0.8243431914050148,-0.005
0.136,-0.806962332790657,-0.02
0.139,-0.7151702970149914,-0.04
0.142,0.841017996523499,-0.03
0.144,-0.032340854211874825,-0.035
0.147,-0.357900969347819,-0.045
0.15,-0.040121483129439195,-0.07
0.153,-0.018749412435745016,-0.105
0.156,0.6885484324587152,-0.15
0.158,0.13979647262447803,-0.18
0.161,0.957755141774582,-0.22
0.164,0.8119222707111227,-0.255
0.167,-0.3474969028713335,-0.3
0.169,-0.9112096258058193,-0.33
0.172,-0.22717639220667252,-0.345
0.175,0.5712137262673309,-0.37
0.178,0.5969011924487528,-0.385
0.181,0.7057669576319145,-0.405
0.183,0.6443551151037201,-0.435
0.186,-0.6838194578397598,-0.475
0.189,0.6890330555708601,-0.48
0.192,-0.7310135790136232,-0.5
0.194,0.05767567363952164,-0.51
0.197,-0.5763342364178465,-0.535
0.2,-0.9951197755238705,-0.565
0.203,0.372738695469889,-0.58
0.206,0.8183537911634786,-0.565
0.208,0.32789223998582684,-0.53
0.211,0.8485127910108898,-0.485
0.214,-0.7988719403760385,-0.445
0.217,0.9685397422520725,-0.4
0.219,0.3084791237668043,-0.36
0.222,-0.7181016416351194,-0.305
0.225,0.07020696159477335,-0.245
0.228,-0.523779267108017,-0.18
0.231,0.3279636953531606,-0.125
0.233,-0.47428903565704283,-0.085
0.236,-0.8760483224872149,-0.055
0.239,-0.9748516311150097,-0.015
0.242,-0.9136308753511315,0.02
0.244,0.8481402963423803,0.055
0.247,0.8367195332295223,0.085
0.25,0.3573225688968964,0.095
0.253,0.586965492673349,0.095
0.256,0.8372235286537311,0.095
0.258,-0.3350509928902121,0.11
0.261,0.4787866815382409,0.145
0.264,0.681590027798781,0.155
0.267,-0.2534993317113132,0.175
0.269,-0.2058635963778468,0.185
0.272,0.5911691495962741,0.215
0.275,0.06248345435056679,0.245
0.278,-0.6679885124003351,0.275
0.281,0.1397437407751425,0.295
0.283,-0.7815585913262126,0.31
0.286,-0.33283565115719393,0.315
0.289,-0.01687653554093438,0.32
0.292,0.6008702409116227,0.335
0.294,-0.5859463306359596,0.35
0.297,0.5088561687847288,0.345
0.3,0.8728913569795775,0.34
0.303,-0.2621820728770978,0.335
0.306,-0.8530224835359885,0.33
0.308,0.9729311648509278,0.345
0.311,0.20689755940782684,0.365
0.314,-0.32431686557285344,0.36
0.317,-0.5284977060027993,0.365
0.319,-0.44645238015240096,0.35
0.322,-0.2970220323917898,0.35
0.325,-0.3689359930995384,0.36
0.328,0.6732962946319558,0.37
0.331,-0.7963342906391231,0.385
0.333,-0.8326740777290591,0.38
0.336,0.6714454114674577,0.375
0.339,0.8975713565270542,0.365
0.342,-0.4049417548191363,0.37
0.344,-0.031078748565744663,0.39
0.347,-0.8480053962762035,0.39
0.35,0.43878118160001334,0.395
0.353,0.45931763585219465,0.395
0.356,-0.5684404705657842,0.385
0.358,0.25257631925762514,0.4
0.361,0.38323127774455923,0.415
0.364,-0.5494994952339194,0.415
0.367,0.5772191135800577,0.42
0.369,-0.8255412812137792,0.41
0.372,0.0984889578340089,0.41
0.375,-0.8327170337518075,0.43
0.378,-0.3008516796124221,0.435
0.381,0.7603189581454819,0.44
0.383,-0.01576953745502796,0.44
0.386,0.8572605621672078,0.44
0.389,-0.7656451982023564,0.43
0.392,0.5656540686949523,0.445
0.394,-0.7530240195311215,0.465
0.397,-0.7913264928159802,0.47
0.4,-0.7742150132707442,0.465
0.403,-0.7672248679333447,0.465
0.406,0.28272954959608665,0.465
0.408,-0.22208729519829484,0.47
0.411,0.05350697895329559,0.49
0.414,0.7307280510947132,0.495
0.417,-0.8859573832419643,0.5
0.419,-0.5368938251497661,0.485
0.422,0.3845174752892131,0.49
0.425,-0.7616293532898202,0.505
0.428,0.4495424960121468,0.52
0.431,-0.7216492697943135,0.52
0.433,0.5368346188312847,0.52
0.436,0.9099115643215319,0.52
0.439,0.13878828949144162,0.515
0.442,0.9154521607581318,0.53
0.444,0.22779224217491234,0.535
0.447,-0.2040098208130594,0.55
0.45,-0.2665370761463166,0.545
0.453,-0.17075544110400487,0.535
0.456,-0.5082159223847609,0.535
0.458,0.00819919490704013,0.54
0.461,0.44441609307467145,0.545
0.464,0.16107542145338405,0.56
0.467,-0.27235290462995687,0.535
0.469,-0.7286114000892399,0.54
0.472,0.15654207614352011,0.52
0.475,-0.3616064195576625,0.525
0.478,0.942356804572775,0.525
0.481,-0.709584441908103,0.535
0.483,0.7861424813080007,0.52
0.486,0.32571573490935823,0.51
0.489,-0.5249660054741829,0.5
0.492,-0.3101409302846345,0.505
0.494,0.6077613564264994,0.515
0.497,0.2224575195418801,0.495
0.5,-0.7766905452897177,0.485
0.503,-0.3467461640812384,0.465
0.506,-0.9783663893850107,0.455
0.508,-0.8166714294414712,0.465
0.511,-0.5472654790107174,0.465
0.514,-0.027295218139929522,0.47
0.517,-0.01442268384641432,0.45
0.519,-0.5396603457264411,0.44
0.522,0.9255630291786257,0.43
0.525,0.1298637020485114,0.425
0.528,-0.18837389254867332,0.425
0.531,-0.439045694106748,0.42
0.533,0.7434980688626451,0.4
0.536,-0.3987171569627139,0.38
0.539,-0.01758858714554057,0.37
0.542,0.04506301844071081,0.375
0.544,-0.9129610380958317,0.38
0.547,0.003275186277014175,0.375
0.55,-0.47940251439680637,0.365
0.553,-0.43277034646543777,0.345
0.556,0.5411899041981096,0.34
0.558,-0.4035333070818634,0.33
0.561,-0.1607179754511805,0.335
0.564,-0.9583354244111555,0.33
0.567,-0.7449845869509264,0.33
0.569,-0.1694003396612871,0.31
0.572,0.5420512516236973,0.3
0.575,0.743456992783394,0.295
0.578,0.9236381211254008,0.3
0.581,-0.3333836093287248,0.305
0.583,-0.8222373331693331,0.295
0.586,-0.3825800358885254,0.29
0.589,-0.37914213473853775,0.28
0.592,-0.4701176343996214,0.285
0.594,-0.9907592313632771,0.295
0.597,0.570080311389169,0.29
0.6,0.13870769827178497,0.28
0.603,-0.10625987558239935,0.28
0.606,0.12047264379806255,0.27
0.608,0.006467365151347826,0.29
0.611,-0.3559306958826265,0.275
0.614,-0.39245418756095396,0.285
0.617,0.8785149248577919,0.265
0.619,0.8582335065139031,0.275
0.622,-0.2769702307460469,0.265
0.625,0.37011719077194893,0.275
0.628,0.14105189260096251,0.29
0.631,0.7621338323709939,0.275
0.633,-0.05337780954743421,0.265
0.636,0.17396578750411051,0.26
0.639,-0.9728430562619206,0.26
0.642,-0.06644118309327984,0.26
0.644,-0.4914521495452493,0.275
0.647,-0.8047145424327751,0.27
0.65,0.17899275988851393,0.255
0.653,-0.29209602754890773,0.26
0.656,0.586698049973793,0.255
0.658,0.009939372592074891,0.25
0.661,-0.38518543343490497,0.265
0.664,-0.43685565187739317,0.27
0.667,-0.9326267960000203,0.265
0.669,-0.5546767509318282,0.245
0.672,0.3383867786772714,0.25
0.675,-0.4821870619244053,0.255
0.678,0.11655167617480555,0.265
0.681,-0.5236840681712083,0.265
0.683,-0.2982054408649528,0.265
0.686,0.6417230805081893,0.265
0.689,-0.036146637189829356,0.255
0.692,0.6553246864238305,0.255
0.694,0.4216796921327062,0.275
0.697,-0.5821285375201253,0.265
0.7,-0.33230917537776605,0.26
0.703,0.8682459411108314,0.25
0.706,0.5957744057616701,0.25
0.708,-0.3464268316909651,0.255
0.711,0.6468174582065271,0.265
0.714,-0.9210402120345298,0.26
0.717,0.7843134777482201,0.25
0.719,0.24988480929515045,0.245
0.722,0.7776627390078774,0.23
0.725,-0.12906932777833013,0.245
0.728,0.11710394109188327,0.26
0.731,-0.22987480911927372,0.245
0.733,-0.5474882541466735,0.24
0.736,-0.5224504669313732,0.225
0.739,-0.781590431160295,0.23
0.742,-0.07379028843211133,0.235
0.744,0.5429504651364936,0.24
0.747,-0.4458728440261377,0.24
0.75,0.012914144881575274,0.24
0.753,0.6248028232367395,0.23
0.756,0.7746173804925724,0.22
0.758,0.475877655982649,0.23
0.761,-0.8389217829525988,0.23
0.764,0.48834391539200683,0.225
0.767,0.08975562793341019,0.235
0.769,-0.9908224327232869,0.205
0.772,-0.7771613702868125,0.21
0.775,0.8909416725445116,0.22
0.778,0.0720952014074141,0.225
0.781,-0.2978655547295115,0.225
0.783,-0.695715473849601,0.23
0.786,0.7860715772709368,0.21
